FightID,Fighter,Opponent,FighterAge,OpponentAge,Outcome,WeightClass,GenderBool,ChampBoutBool
83,Piera Rodriguez,Ariane Carnelossi,31,31,0,Women's Strawweight,True,False
84,Alatengheili,Kleydson Rodrigues,32,28,1,Bantamweight,False,False
84,Kleydson Rodrigues,Alatengheili,28,32,0,Bantamweight,False,False
85,Vanessa Demopoulos,Emily Ducote,35,30,1,Women's Strawweight,True,False
85,Emily Ducote,Vanessa Demopoulos,30,35,0,Women's Strawweight,True,False
86,Derrick Lewis,Rodrigo Nascimento,39,31,1,Heavyweight,False,False
86,Rodrigo Nascimento,Derrick Lewis,31,39,0,Heavyweight,False,False
87,Joaquin Buckley,Nursulton Ruziboev,30,30,1,Welterweight,False,False
87,Nursulton Ruziboev,Joaquin Buckley,30,30,0,Welterweight,False,False
88,Carlos Ulberg,Alonzo Menifield,33,36,1,Light Heavyweight,False,False
88,Alonzo Menifield,Carlos Ulberg,36,33,0,Light Heavyweight,False,False
89,Diego Ferreira,Mateusz Rebecki,39,31,1,Lightweight,False,False
89,Mateusz Rebecki,Diego Ferreira,31,39,0,Lightweight,False,False
90,Sean Woodson,Alex Caceres,31,35,1,Featherweight,False,False
90,Alex Caceres,Sean Woodson,35,31,0,Featherweight,False,False
91,Waldo Cortes-Acosta,Robelis Despaigne,32,35,1,Heavyweight,False,False
91,Robelis Despaigne,Waldo Cortes-Acosta,35,32,0,Heavyweight,False,False
92,Chase Hooper,Viacheslav Borshchev,24,32,1,Lightweight,False,False
92,Viacheslav Borshchev,Chase Hooper,32,24,0,Lightweight,False,False
93,Esteban Ribovics,Terrance McKinney,28,29,1,Lightweight,False,False
93,Terrance McKinney,Esteban Ribovics,29,28,0,Lightweight,False,False
94,Tabatha Ricci,Tecia Pennington,29,34,1,Women's Strawweight,True,False
94,Tecia Pennington,Tabatha Ricci,34,29,0,Women's Strawweight,True,False
95,Trey Waters,Billy Ray Goff,29,25,1,Welterweight,False,False
95,Billy Ray Goff,Trey Waters,25,29,0,Welterweight,False,False
96,Charles Johnson,Jake Hadley,33,27,1,Flyweight,False,False
96,Jake Hadley,Charles Johnson,27,33,0,Flyweight,False,False
97,Veronica Hardy,JJ Aldrich,28,31,1,Women's Flyweight,True,False
97,JJ Aldrich,Veronica Hardy,31,28,0,Women's Flyweight,True,False
98,Alexandre Pantoja,Steve Erceg,34,28,1,Flyweight,False,True
98,Steve Erceg,Alexandre Pantoja,28,34,0,Flyweight,False,True
99,Jose Aldo,Jonathan Martinez,37,30,1,Bantamweight,False,False
99,Jonathan Martinez,Jose Aldo,30,37,0,Bantamweight,False,False
100,Anthony Smith,Vitor Petrino,35,26,1,Light Heavyweight,False,False
100,Vitor Petrino,Anthony Smith,26,35,0,Light Heavyweight,False,False
101,Michel Pereira,Ihor Potieria,30,27,1,Middleweight,False,False
101,Ihor Potieria,Michel Pereira,27,30,0,Middleweight,False,False
102,Caio Borralho,Paul Craig,31,36,1,Middleweight,False,False
102,Paul Craig,Caio Borralho,36,31,0,Middleweight,False,False
103,Joanderson Brito,Jack Shore,29,29,1,Featherweight,False,False
103,Jack Shore,Joanderson Brito,29,29,0,Featherweight,False,False
104,Iasmin Lucindo,Karolina Kowalkiewicz,22,38,1,Women's Strawweight,True,False
104,Karolina Kowalkiewicz,Iasmin Lucindo,38,22,0,Women's Strawweight,True,False
105,Myktybek Orolbai,Elves Brener,26,26,1,Lightweight,False,False
105,Elves Brener,Myktybek Orolbai,26,26,0,Lightweight,False,False
106,Drakkar Klose,Joaquim Silva,36,35,1,Lightweight,False,False
106,Joaquim Silva,Drakkar Klose,35,36,0,Lightweight,False,False
107,Mauricio Ruffy,Jamie Mullarkey,27,29,1,Lightweight,False,False
107,Jamie Mullarkey,Mauricio Ruffy,29,27,0,Lightweight,False,False
108,Dione Barbosa,Ernesta Kareckaite,31,25,1,Women's Flyweight,True,False
108,Ernesta Kareckaite,Dione Barbosa,25,31,0,Women's Flyweight,True,False
109,Ismael Bonfim,Vinc Pichel,28,41,1,Lightweight,False,False
109,Vinc Pichel,Ismael Bonfim,41,28,0,Lightweight,False,False
110,Alessandro Costa,Kevin Borjas,28,26,1,Flyweight,False,False
110,Kevin Borjas,Alessandro Costa,26,28,0,Flyweight,False,False
111,Alex Perez,Matheus Nicolau,32,31,1,Flyweight,False,False
111,Matheus Nicolau,Alex Perez,31,32,0,Flyweight,False,False
112,Bogdan Guskov,Ryan Spann,31,32,1,Light Heavyweight,False,False
112,Ryan Spann,Bogdan Guskov,32,31,0,Light Heavyweight,False,False
113,Karine Silva,Ariane da Silva,30,30,1,Women's Flyweight,True,False
113,Ariane da Silva,Karine Silva,30,30,0,Women's Flyweight,True,False
114,Jhonata Diniz,Austen Lane,32,36,1,Heavyweight,False,False
